Answer,Question,Id_Number
"Thank you for writing. You did nothing wrong! You did not put this woman in prison. She did it to herself. She befriended, manipulated and abused a vulnerable 14-year-old (actually, two young teens). She is a sexual offender who was grooming you, not loving you. She belongs in jail.This was never an equal or appropriate relationship. As a teacher, she used her position of authority and the fact you were needy and looked up to her as means to draw you in. She was so good at gaslighting you that you believed and still believe that her abuse was love. She did all the classic moves of an abuser: She gained control of you by making you think you were special. She isolated you, making you more and more dependent on her. She created a relationship where you were always on eggshells, trying not to say or do anything that would cause a fight. She created fights anyway and then made you feel like you were at fault. Apologies and presents followed — which only confused you more. Any time that you questioned her or the relationship, she blamed and shamed you. While demanding total loyalty to her, she was disloyal to you.Don’t blame yourself! You are thinking and feeling and acting like many survivors of abuse. You are still confused. You are still taking blame on yourself. Your abuser may be in prison, but she is still in your head.I don’t know why you stopped seeing a psychologist. You do need help to sort this out. An experienced therapist will not judge you. Your feelings are recognizable for what they are — a reaction to prolonged abuse. Sadly, your experience is not unique or as complex as you believe it is. We therapists often, too often, see something like it.Please. Make an appointment with a licensed mental health counselor who specializes in trauma. You have recovery work to do. You deserve to free yourself of the blame and shame so that you can find real love in a real relationship.I wish you well. ","From a teen in Australia: This story is incredibly long but I’m going to do my best to cut it down and only include the most important bits. When I was 14 and in a very low place, I met a teacher at my school. She was around 30. I didn’t think much of it at first, but eventually I kept talking to her more and more and seeing her around. We grew close quickly and for some reason I just felt connected to her. One day I received a text message from her as she had gotten my number off another student.",0
"At 63, you are still working on this. For that I give you enormous credit. Thank you for writing.I ask you to consider this: It’s likely that you did not have the impact on the therapist that you thought you did. She moved on to a new job. You are the one who cancelled appointments and didn’t give the two of you the opportunity to terminate well.In my opinion, it is possible that you skew new information to fit your idea of yourself. This is called “assimilation”. Assimilation is when people fit new information into their existing ideas of themselves and the world.Such beliefs are called “schemas” by theorist Jean Piaget. Everyone has such schemas. It is how we categorize and process new information. If we didn’t have them, we would be overwhelmed by every new thing we see, learn, and experience. Schemas give us something to go on as we try to understand new facts, opinions, and ideas. It is so much easier to modify new information to fit our existing beliefs than to change our beliefs, whether those beliefs are positive or negative.You have an idea of yourself as someone other people will ultimately abandon. I’m guessing you are so sensitive to that possibility, that you see abandonment when people need to leave you (like your therapist), regardless of the reality.  Fearing abandonment, just waiting for the “other shoe to drop”, you provoke the very abandonment you fear or interpret something someone says or does as further evidence that you are a person that other people leave.One of the ways you preserve some self-esteem is to see yourself as powerful; as having permanent impact on others’ ability to trust. That may be true in some cases, but it is unlikely that you have that much impact on others, especially on an experienced therapist.I suggest you get back into therapy. Take your letter and this response, whether or not you agree with me, to the first appointment. It will give the new therapist an immediate understanding of where to begin.You haven’t yet given up on yourself. Don’t start now. Make that appointment. You could live for another 30 years, decades without this burden.I wish you well.",From a woman in the U.S.: My Therapist of eight months terminated. {new job}.   I cancelled our final appts: because I could not face her. I had lied to her to test her and ultimately push her away.  She knew I think and I believe she felt betrayed.  I could tell because our sessions changed… She was in fact pushed away.,1
"It’s impossible to give a diagnosis over the internet. The most common questions that I receive here at Psych Central are from people with anxiety disorders who fear that they may be developing schizophrenia. Anecdotally, it seems to be a very common fear, especially among people with anxiety.It makes sense that people with severe anxiety would believe that they might have schizophrenia. People with anxiety disorders often fear the worst-case scenario. In their minds, schizophrenia is the worst-case scenario. Among the lay public, it is the most frightening of all mental health disorders.Panic attacks are frightening. Panic attacks cause an extreme state of heightened distress. As you mentioned, it makes you feel like you’re on the “edges of insanity.” That’s how all people feel when they are experiencing panic attacks. Panic attacks are a sign of an anxiety disorder, not a psychotic disorder. Even though it may feel that way, it is not that way.The idea that you have yet to consult a mental health professional is likely contributing to this problem. I understand that you’re frightened of treatment but you have nothing to fear. Mental health professionals want to help you. Good, effective treatment is available.Anxiety disorders are the most common mental health disorders in the world. Highly effective treatments exist that can help you immediately, relieving your distressing symptoms. When you think about it, it’s nonsensical to suffer with a highly treatable condition. The sooner that you seek treatment, the sooner you will feel better.Nothing that you have written in your letter would indicate schizophrenia. You mentioned hypnagogic hallucinations before falling asleep. Those are a normal part of falling asleep but we often only remember them when we are having trouble falling asleep. If we have them, then immediately wake up, we remember them. If we have them and then fall asleep, we don’t remember them at all.If I could interview you, I would want to know why you are experiencing so much stress. What is causing you to feel this way? Stress has a cause. You are obviously worried about something. Did something recently change in your life? What are you worried about? It’s important to know what is causing these problems.Even if it’s difficult, make it a priority to consult a mental health professional. Once you have the initial meeting, you will likely quickly begin to feel better. You will see that it is not a frightening experience. Treatment can begin as soon as the first session. That means that you will likely leave your first session with less anxiety and a solid treatment plan for the future. You will be on your way to recovery.One of the best ways to reduce anxiety is to focus on reality. Staying grounded in reality is an important element in reducing panic and fear. Obviously, that is easier said than done which is why it’s important to consult a mental health professional. They will know how to help you. They have received explicit training to help with these types of problems. You should not wait another day. Make an appointment immediately. I wish you the best of luck. Please take care.","I don’t even really know where to start. For the past 7 months I’ve been under extreme mounts of stress followed by a few panic attacks, that have left me so emotionally unstable that I feel that I’m teetering on edges of insanity. I’m in constant fear that I might be experience psychosis. I’ve been having hypnagogic hallucinations right before falling asleep that have left me in so much distress. Sometimes I’ll hear a loud sound or different voices that are loud. I’d like to not that I’ve experienced this for most of my life. But since having these panic attacks and just hours on the internet and reading about mental illness it has left me scared that it maybe something more. I’m extremely scared I might be in the beginning stages of schizophrenia. I’ve become hyperaware, I literally am always making sure that I’m not hearing things or seeing things. I just feel so lost and sad all the time I just want to feel whole again. Sorry if this seems a little jumpy I’m just in tears as I type this. I’ve never been diagnosed with anxiety or any anxiety disorder and I fear it may be more than that anyway. I’ve become so afraid of my mind because if I have a weird thought I am constantly ruminating on it and it drives me up the wall. Couple of days ago I literally typed in the same question about schizophrenia 30 different times. I need help but I’m so afraid that the Doctor may confirm my fears. I just don’t know what to do. Is the hyperawareness of sounds, weird thoughts and hypnagogic hallucinations a sign that I’m becoming schizophrenic? I also have a cousin who is schizophrenic and I have an older father so I know I’m at higher risk. I’m in shambles over this. Anything would help. I don’t really know if any of this even makes but please help.",2
"Congratulations on bringing your new baby into the world. Since you are in your 30s and you are concerned with attachment issues, I’m guessing that this was an all the more special event in your life.First, please take a look at the research on attachment outcomes for babies who are in daycare. They generally do as well or better than babies who are not. Babies in childcare do know who their mothers are. By six months, babies are secure in their attachment to their moms, especially when the moms do as you are doing while they are on leave — spending a lot of time and having a lot of contact with their children.What you can do to ease both of you into your eventual return to work is to gradually start spending some time apart. You may already be doing this. Put your baby down in a baby carrier or a comfortable made-for-baby cushion for short times during the day. Give him some experience with you putting him down and then coming back. Allow your friends to hold him and play with him at times so he gets used to interacting with other people besides you. Since you are breast feeding, start doing some pumping (and stock piling milk in the freezer) and introduce a bottle for a feeding or two when he is six months old to get him used to it. Talk to your pediatrician or a lactation specialist about how best to do this.It will be hard at first to leave him. You are part of an attachment couple after all. But do remind yourself that providing for him financially as well as emotionally is part of what will keep him safe and secure. If your work is part of what makes happy, he will also have a happier mom. To keep the emotional attachment going, all you need to do is establish a relaxed and attentive routine as you get ready in the morning, play with him between when you get home and bedtime, and enjoy your weekends together.I wish you well. ","From a woman in the UK: Hi, I have a 4 month old baby boy and i have to go back to work when he’s 7 months. I understand that will be a key age for forming secure attachment and i won’t be around for some of every day. i can work from home but not all the time. I’m worried about disruption to our relationship and his attachment. We are breastfeeding, cosleeping and i wear him in a carrier often. He is settled and doing well with this arrangement but of course we will have some distance when I’m back at work. Is there anything i can do to make things easier for my baby? Thank you",3
"Thank you for explaining this situation. How unfortunate that this share joyous event is turning into a competition.The experience of being left out or ignored as part of the situation is what needs to be addressed. First, I would have a talk with your fiancé about what is happening and why. Does the family have a bias against the pregnancy because you were not married first? Is your fiancé on the outs with his family? Do they have a resentment against you for some reason? The key to understanding why this is happening is in understanding the reasons behind it. Of course, they may be superficial reasons or unconscious ones, but having a talk with your fiancé about this may be helpful in uncovering being slighted. This can also help decide the best mode of action for remediation.The fact that they are treating you both so differently may not be something they are consciously aware of. As a way of fostering a connection, I would include yourself into the mix and have your fiancé facilitate this. If they are touching her belly and not yours inviting them to feel the baby might be something you and your fiancé can offer. Join in the attention to your future sister-in-law and invite her to share time and information with you. Make yourself and your willingness to engage known to them.It way also help for you to take on a role where you are asking questions of your sister-in-law or other members of the family. You having this need from them may be part of what shifts the dynamic. Discussing this with your future husband can give you both a sense of connection during this, as well as support.Anxiety during pregnancy about, well, everything, is a well-known phenomenon. Here is an article you may find interesting about this.Wishing you patience and peace, ","Me and my sister in law are both pregnant right now. And I’ve been noticing the inconsistency of level of care about our baby from my fiancée side of the fam. This situation really has me depressed, and unsure what to do. for starters my sister in law and that side of the family has made it a competition between the babies, I don’t want it to be a competition. It always who can do what first. Then we notice that their side of the family doing all these things for their baby and not ours.if we happen to go visit them, and someone asks about our baby, someone always brings up the other baby and that the other baby “does it bigger” basically. And they are always all over my sister in laws belly, never once mine. They have literally cried over feeling her belly, never even touched mine once. No one ever asks how my baby is doing. I just want it to be equal, and I don’t know what to do. I need some serious advice. I don’t want this to continue when both the babies are here (which will be very soon), I don’t want my child noticing it either.",4
"It’s not clear what you mean by “submission to authority” or “arbitrary authority.” I wish that I had more details about the circumstances of your firings and decisions to quit. It could be that the people in “authority” are bosses (or managers). These individuals always have more power than employees. Their job is to oversee and manage those employees. The hierarchy is such that the boss naturally has more power than do the individuals working under them. They are in a position of telling others what to do. These are, of course, general statements about the power dynamics between bosses and their employees and certainly would not apply to everyone, in every situation.The boss also provides guidance and leadership to employees. Many have earned their place in the company. They often acquired their higher-level status after having worked many years with the company. Employees, especially new employees, look to them for advice. Employees often haven’t been at the company as long as the boss and thus rely on their advice.Sometimes, people can be resentful of the boss. This is especially true when the boss is unfair, bullies their employees or creates a toxic work environment. It’s not clear if any of those situations where applicable to you or if you simply resent being told what to do, under any circumstances.If you cannot work because of this issue, then you have a dilemma. You will have severely limited your job prospects. That significantly narrows the scope of options you have for work or a career. This hurts your ability to make a living. It is you who will suffer from your inability to work with others. You have the potential to lose out on great jobs and a satisfying career. You also face a significant loss of potential income. One needs to work in order to have money to pay bills, to eat, to have a home, and so forth. You need money to live.In addition, if you live in the United States, you need to have health insurance. Without health insurance, you face serious financial and medical consequences. Those without health insurance often forgo preventative care and risk not being able to pay their medical bills, should they get sick and need treatment. Medical care can be extraordinarily expensive. Recent studies indicate that the majority of bankruptcies in the United States are linked to medical issues. Often, health insurance comes from the employer and without this benefit, many simply cannot afford health insurance.People can also gain satisfaction and a feeling of accomplishment from their jobs. This is not to say that a person’s self worth should be tied to their careers or what they do for a living but it can positively affect their confidence levels. Competence increases one’s self-esteem. Without those occupational elements in your life, you may suffer from a lack of competence, confidence and or self-esteem.If you can’t function in the traditional work environment, then you’ll need to find another way to make a living. One potential option is to be your own boss. Perhaps you can start your own business. That’s one potential workaround.You mentioned that you have BPD but I’m not certain if you meant borderline personality disorder or bipolar disorder. In any event, one strategy for attempting to resolve this problem is counseling. You might consider it to adjust or realign your mindset around these issues. Your inability to be deferential to authority hurts your job prospects and thus potentially your ability to have a happy and well-adjusted life. If you are open to it, counseling could remedy this. Good luck and please take care.","I cannot hold down a job because I refuse to submit to arbitrary authority. I’ve been diagnosed with BPD as well. I continuously get fired or quit due to workplace conflicts. I’m trying to move to a region of the country where employment opportunities may be more varied, pertain to my career field, or pay more; however, my inability to work is making this goal nearly impossible to achieve. I simply cannot work. No amount or type of coping skill makes the pain of submission to authority or workplace bullying any less excruciating.",5
"It sounds like moving back in with your parents was a bad idea. These are not your problems. Your father told you about your mother, and now he’s expecting you to keep it to yourself. There’s no need to pretend that everything is fine. If you didn’t live there anymore, this would no longer be your problem. This is not to say that you would ignore it and act like nothing is happening but these are their problems to work through. It’s their marriage.As for your mother no longer acting like a mother, you and your siblings are adults (from what is sounds like in your letter). The job of a parent is to prepare their children for the world, so they can make it on their own. That job usually ends around the age of 18, and then parents need to make the transition to advisor and friend. You moved out and were doing fine but decided to move back in. Your mother had moved on with her life and was doing things that interested her. The way she figured it, her job was done.Understandably, it’s difficult to be in the middle of this type of situation. Your father should have kept that level of personal information to himself. It would have been better if he could have gone to a therapist to discuss those issues. It’s the ideal place to be dealing with matters of infidelity and other relationship issues. You might suggest that he talk to a therapist about these personal issues instead of you. Therapists are trained to know how to deal with these issues.If you’re struggling with these issues, you might also consider consulting a therapist. It might help while you are living with your parents. It might also help you to clarify what you want to do with your own life. At 25, people are exploring what it is they want to do. They are thinking about their careers, developing their own relationships, and getting to know who it is they are and what they want to be. These are the developmental tasks that are necessary for healthy psychological growth and development. These are the kinds of things that should be the primary focus of your life at this time. Let your parents deal with their own marriage and relationship. They are going to have to figure out these things on their own.I’m sorry you’re dealing with this problem. It’s not easy to be in the middle of these sorts of issues. Love and support your parents. Offer your moral support, but its best to try to focus on your own life. Good luck and please take care.","I found out very recently that my mom has cheated on my dad 4 times in the past. They’ve gone to counseling each time, where she denies her cheating until finally she admits it but blames it on him “not meeting her needs.” I didn’t want to hear this in the first place but you can’t unring a bell.",6
"Thank you for writing. I’m sure this did scare you! Some dreams are like epic dramas. They feel so very, very real.There are dozens of books about dreams that suggest concrete meaning for various images that occur in people’s dreams. They make for interesting reading but they aren’t helpful. Why? For the simple reason that different images have different meaning depending on a person’s culture, life experience, and current situation. In white middle American culture, for example, the color white generally means innocence or purity. But in China it can symbolize misfortune or mourning. A blank computer screen for one person might symbolize a fresh start or endless possibilities. For another person, it could mean blank despair.As an American, you are currently being inundated by news stories of mass shootings, including the shooting of children. My guess is that it is making you more anxious than you realize. You may be able to bury your anxiety during the day when the busyness of taking care of your own children is distracting. But when you are asleep, the censor that operates during the day shuts down. All that anxiety gets funneled into the “what ifs” that you put in the back of your mind during the day.What your dream is telling you is that you are frightened, which to me means that you are paying attention. Shootings are happening in malls, in churches, at concerts. Sandy Hook, where twenty 6-year-olds were gunned down in school, reverberates in every mother’s subconscious. Where are our children safe? Where are we safe? How do we protect our kids and ourselves without living in constant fear?I think your image of sitting on the bench with snacks was your attempt to answer the question. You were trying to keep things ordinary when tragedy was happening. I think the fact that your children were “up the road” was your way to tell yourself that maybe you could keep them safe even if you and their father were shot.In short: Your dream makes perfect sense to me. It wasn’t just a horror story. It was a visual presentation (as all dreams are) of your fears and hopes.I wish you well.","From a woman in the U.S.: I had a dream that seemed so real. Someone shot my boyfriend in the stomach and he threw up. After the man shot my kids father he came to me and stood over me for what seemed like a life time. My heart was racing so fast I mean I could literally see the guys face but I have never seen him before in “real life”.  I was sitting across the street from where my boyfriend was shot. I remember for some reason sitting on a blue bench, holding a box, that was filled with snacks. (I never hang around outside on corners) I begged him not to shoot me because I had two babies right up the road. He still shot me in my head it felt so real.. I seen the flash from the gun, I felt the hot bullet; go through left side of my head, (right behind my hair line) and i also felt the the bullet come out of the my right side of my neck/underneath the chin.  I could also feel the warm sticky blood coming from my head and neck. He shot me again and then i woke up.",7
"Thank you for writing. In psychology, the term “projection” is when someone projects (like a film projector) their own feelings onto another person. Your stepdaughter says that you are jealous. It looks to me like she may be projecting her jealousy on you.You are only 10 years older than she is so it’s not possible for her to think of you as an additional mother in her life. To her, you are a competitor for her daddy’s affection, attention, and even money. I’m guessing that she has strong feelings about the divorce and, consciously or unconsciously, wants to undermine your marriage. Apparently, she and her mother agree about this, which complicates things even more. The daughter is acting as her mother’s spy in a divorce that doesn’t look like it’s over — at least for her mother.Your husband is caught between his love for you and his desire to be loved by the daughter he loves. It is understandable that he doesn’t know how to navigate this very difficult situation.I strongly urge you and your husband to see a licensed family counselor about how best to deal with his daughter’s feelings and behavior. You two need to be a team. A counselor will help your husband figure out how to love and support both you and his daughter without endangering your marriage. You will be helped to understand how to support him and how to navigate your own relationship with the daughter and her role in your children’s lives.I wish you well.",From a woman in the U.S.:  My husband’s daughter is 19 years old and she constantly causing drama. she lies and tells people I mistreat her tell people she hates me etc. me and my husband have been together for 6 years we have two children a 3 year old and 2 year which his daughter never asks for at all. they don’t exist to her but the moment she can talk about me she will bring up how she doesn’t see them etc,8
"Thank you for sharing this difficult concern with us. You’ve said that you’ve wrestled with OCD (Obsessive Compulsive Disorder) since you were a child. It seems to me that since this diagnosis has already been made it would be a very good idea to follow up with treatment. The repetitive and intrusive imaginary discussions seem right at the core of an OCD style behavior.A way to understand what is happening is that obsessive thoughts and behaviors can take many forms. Most of the compulsions are behaviors that can be observed, like washing hands or cleaning or arranging rituals. But some of the rituals may be mental. My best guess is that what you’ve explained sounds like a type of ritualized behavior. Keep in mind that I could be off on this because this isn’t a situation where I could diagnose someone — but the fact that you’ve been diagnosed with OCD and these patterns of thought follow a particular repetition and arrangement with your situation, makes me think having a discussion with a clinical psychologist or psychiatrist is the best thing.For diagnosis and treatment the first thing is to make sure it is an OCD symptom and this can only be done with a trained professional. Typically, the type of therapy offered that is effective for OCD is cognitive-behavioral therapy, CBT. You can learn more about CBT here.","I’ve been talking to myself for over 6 years now. It’s only now that I realized I don’t have control over it. I don’t really talk to myself, I talk to people I no longer know and people I wish to know. I engage in long conversations with them that may last for 1~3 hour/s. I talk and imagine their answers in my head and then reply. I’ve been okay with it but for the past year, it started to bother me because I realized I waste about 30% of my day on it. I low-key like it, because it gives me chances I was never given and probably will never be given. I imagine myself doing all the stuff I couldn’t do. I started to feel really bad about it when I realized I don’t fully move on from any single thing in my life (a past lover or something I failed in before) because of this. I basically never forget anything that happened to me because I keep repeating everything in my head and also make up scenarios that never happened. It’s starting to get out of control because it makes me unable to focus, whenever I see a movie I keep pausing to talk for some time and then I go on with the movie and repeat, which ends up with me finishing a 2 hour movie in over 5 hours. I never felt bad about it but now I do because I came to know that’s basically why I never move on. I repeatedly think about things that happened years ago. I’ve had OCD since I was in grade 5 (about 8 years ago), I never fully recovered from it, it comes and goes. I don’t know if it might be related. I tried controlling myself and refusing any urges to talk to whoever I talk to but I always fail. Thing is, I fully understand I’m not talking to real human being and I’m merely pleasing myself by achieving stuff I couldn’t in real life, so I don’t think I’m crazy or something. I just need to know if it’s serious, and I certainly need help on how to stop this because I need the time I waste on doing it. (From Egypt)",9
